ID,URL,Name,Author,Description,Scenario,Symptoms,Security Impact,Security Related Design,"""Pernicious Kingdom""",Root cause 1,Confidence 1,Root cause 2,Confidence 2,Root cause 3,Confidence 3,Consensus Value,Stage,Jasmine root cause analysis,Jasmine Reasoning,Alexander root cause analysis,Alexander Reasoning,FH Review
335,https://cwe.mitre.org/data/definitions/335,Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG),Marvin,The product uses a Pseudo-Random Number Generator (PRNG) but does not correctly manage seeds.,"This happens when a developer does not know the importance of using a secure source to generate seeds. A common example is using the time to generate the seed, which makes it easy to guess.",,bypass protection mechanism,automated static analysis,Code Quality,lack of knowledge,Medium,biased review,Low,,,lack of knowledge,Design,,,,,
276,https://cwe.mitre.org/data/definitions/276,Incorrect Default Permissions,Marvin,Permissions are incorrectly set so that unauthorized users can access files/data.,This is possibly caused by complexity within the rules used to manage permissions among many levels of user groups and such.,,"read application data, modify application data,","separation of privileges, access control",Encapsulation,complexity,Medium,rule deficiencies,Low,,,complexity,Coding,,,,,
1112,https://cwe.mitre.org/data/definitions/1112.html,Incomplete Documentation of Program Execution,Marvin,The document does not fully define all mechanisms that are used to control or influence how product-specific programs are executed.,This describes when the code requirements are incomplete.,,,,Security Features,lack of knowledge,High,,,,,,Design,,,,,
413,https://cwe.mitre.org/data/definitions/413,Improper Resource Locking,Marvin,The product does not lock or does not correctly lock a resource when the product must have exclusive access to the resource.,"This is caused when one does not know that a shared resource/variable must be synchronized to be used. In the example of a bank balance, it would be necessary to make sure the balance is up to date before a withdraw is authorized, for example.",,"system crash, system exit","improper locking, resource locking, automated static analysis",Time and State,lack of knowledge,Low,strong now wrong,Low,rule deficiencies,Low,,Design,,,,,
182,https://cwe.mitre.org/data/definitions/182,Collapse of Data into Unsafe Value,Marvin,"The product filters data in a way that causes it to be reduced or ""collapsed"" into an unsafe value that violates an expected security property.",Dev overlooks the need to validate path names,,bypass protection mechanism,input validation,,selectivity,Medium,biased review,Low,,,biased review,Coding,,,,,
549,https://cwe.mitre.org/data/definitions/549,Missing Password Field Masking,Marvin,"The product does not mask passwords during entry, increasing the potential for attackers to observe and capture passwords.","This happens when implementers do not know you're supposed to use type=""password"".",,bypass protection mechanism,", neutralization",Security Features,lack of knowledge,Medium,biased review,Low,,,lack of knowledge,Design,,,,,
131,https://cwe.mitre.org/data/definitions/131,Incorrect Calculation of Buffer Size,Marvin,"The product does not correctly calculate the size to be used when allocating a buffer, which could lead to a buffer overflow.",This could occur when a developer does not fully grasp all the variables involved in their calculations.,,"system crash, system restart, execute unauthorized code, read memory, modify memory","protect credentials, user interface security issues",Code Quality,perceptual confusion,Medium,biased review,Low,,,complexity,Coding,,,,,
358,https://cwe.mitre.org/data/definitions/358,Improperly Implemented Security Check for Standard,Marvin,"The product does not implement or incorrectly implements one or more security-relevant checks as specified by the design of a standardized algorithm, protocol, or technique.",This happens when a developer does not implement or makes a mistake when implementing a requirement.,,bypass protection mechanism.,"input validation, environment hardening, libraries, frameworks, memory buffer errors, automated static analysis",Security Features,rule deficiencies,High,,,,,rule deficiencies,Coding,,,,,
565,https://cwe.mitre.org/data/definitions/565,Reliance on Cookies without Validation and Integrity Checking,Marvin,"The product relies on the existence or values of cookies when performing security-critical operations, but it does not properly ensure that the setting is valid for the associated user.",Dev doesn't know cookies can be edited,,"execute unauthorized code, gain privileges",cryptography,Input Validation and Representation,lack of knowledge,High,,,,,lack of knowledge,Design,,,,,
487,https://cwe.mitre.org/data/definitions/487,Reliance on Package-level Scope,Marvin,"Java packages are not inherently closed; therefore, relying on them for code security is not a good practice.",Dev doesn't know packages aren't secure,,"read application data, modify application data","input validation, cross-site scripting, timeouts",API Abuse,lack of knowledge,High,,,,,lack of knowledge,Coding,,,,,
328,https://cwe.mitre.org/data/definitions/328,Use of Weak Hash,Marvin,"The product uses an algorithm that produces a digest (output value) that does not meet security expectations for a hash function that allows an adversary to reasonably determine the original input (preimage attack), find another input that can produce the same hash (2nd preimage attack), or find multiple inputs that evaluate to the same hash (birthday attack).",Dev doesn't know about the need to salt passwords/use a secure algorithm.,,bypass protection mechanism,bad coding practices,Security Features,strong now wrong,High,,,,,lack of knowledge,Design,,,,,
698,https://cwe.mitre.org/data/definitions/698,Execution After Redirect (EAR),Marvin,"The web application sends a redirect to another location, but instead of exiting, it executes additional code.",Dev doesn't know redirects can be blocked by the user.,,"alter execution logic, execute unauthorized code","hash functions, cryptography",Time and State,lack of knowledge,Medium,biased review,Low,,,lack of knowledge,Coding,,,,,
586,https://cwe.mitre.org/data/definitions/586,Explicit Call to Finalize(),Marvin,The product makes an explicit call to the finalize() method from outside the finalizer.,Dev doesn't know finalize() shouldn't be used,,unexpected state,incorrect control flow,API Abuse,lack of knowledge,High,,,,,lack of knowledge,Coding,,,,,
119,https://cwe.mitre.org/data/definitions/119,Improper Restriction of Operations within the Bounds of a Memory Buffer,Marvin,"The product performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer.",Dev overlooks the need to check if variables used in accessing memory are in bounds,,,bad coding practices,Code Quality,biased review,Medium,lack of knowledge,Low,,,biased review,Coding,,,,,
120,https://cwe.mitre.org/data/definitions/120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Marvin,"The product copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow.",Dev might validate user input in some ways but forget to check if it's too long,,"modify memory, system crash, system exit, system restart, resource consumption",,Input Validation and Representation,lack of knowledge,Medium,biased review,Low,,,biased review,Design,,,,,
138,https://cwe.mitre.org/data/definitions/138,Improper Neutralization of Special Elements,Marvin,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as control elements or syntactic markers when they are sent to a downstream component.",Dev validates user input but forgets to check special characters,,,"environment hardening, input validation, memory management",Input Validation and Representation,lack of knowledge,Medium,strong now wrong,Low,,,biased review,Design,,,,,
363,https://cwe.mitre.org/data/definitions/363,Race Condition Enabling Link Following,Marvin,"The product checks the status of a file or directory before accessing it, which produces a race condition in which the file can be replaced with a link before the access is performed, causing the product to access the wrong file.",This issue happens when the developers do not know about the potential vulnerability in files being changed to file links after a check to bypass security measures.,,"read files, modify files, modify directories",,Time and State,lack of knowledge,Medium,strong now wrong,Low,,,lack of knowledge,Design,,,,,
263,https://cwe.mitre.org/data/definitions/263,Password Aging with Long Expiration,Marvin,"The product supports password aging, but the expiration period is too long.",Outdated CWE from when password ageing was common.,,,"automated static analysis, race conditions, c secure coding standards",Time and State,strong now wrong,Medium,lack of knowledge,Low,,,unknown,Design,,,,,
135,https://cwe.mitre.org/data/definitions/135,Incorrect Calculation of Multi-Byte String Length,Rylan,The product does not correctly calculate the length of strings that can contain wide or multi-byte characters.,"A program may require the length of a String variable  i.e. for memory allocation purposes. A developer may mistakenly calculate the number of characters in the string, using a method such as strlen() in C, instead of finding the size of the string in bytes.",,"execute unauthorized code, system crash, system exit, system restart, resource consumption",,,rule deficiencies,High,,,,,rule deficiencies,Coding,,,,,
204,https://cwe.mitre.org/data/definitions/204,Observable Response Discrepancy,Rylan,The product provides different responses to incoming requests in a way that reveals internal state information to an unauthorized actor outside of the intended control sphere.,"During the documentation stage, failing to precisely clarify what information is to be hidden or revealed from the program will likely lead to a vulnerability.

When reviewing a program that accepts and responds to requests, such as a user login page, the developer may fail to consider that informing whether an invalid password or username was entered may support a bad actor in brute forcing credentials.",,"read application data, bypass protection mechanism","input validation, libraries, frameworks, string errors",Encapsulation,security culture,Medium,biased review,High,,,biased review,Design,,,,,
192,https://cwe.mitre.org/data/definitions/192,Integer Coercion Error,Rylan,"Integer coercion refers to a set of flaws pertaining to the type casting, extension, or truncation of primitive data types.","A developer may mistakenly set a variable as a unsigned int instead of an int, or vice versa, due to the similarity between the two data types.",,"resource consumption, system crash, system restart, execute unauthorized code, incorrect results","separation of privileges, error messages",Code Quality,perceptual confusion,Medium,,,,,perceptual confusion,Coding,,,,,
188,https://cwe.mitre.org/data/definitions/188,Reliance on Data/Memory Layout,Rylan,"The product makes invalid assumptions about how protocol data or memory is organized at a lower level, resulting in unintended program behavior.","Developers operating in a lower level programming language may make assumptions about how memory is organized, such as two variables being one byte apart. Implementing code with these assumptions may lead to erroneous code that can be exploited.",,"modify memory, read memory","object design, data type casting",,lack of knowledge,High,,,,,strong now wrong,Coding,,,,,
805,https://cwe.mitre.org/data/definitions/805,Buffer Access with Incorrect Length Value,Rylan,Rylan,"A developer implementing a method that accepts and saves user input, such as an IP address, may make assumptions about the size of the input. If they fail to consider cases where the input exceeds the assumed size in the review size, the code may be exploitable.

When writing into a buffer, a programmer may mistake the size of the source buffer for the destination buffer. Writing into the destination buffer with the size of the source may lead to a vulnerability.",,,"encapsulation, grammar, memory management, fuzz testing, automated dynamic analysis",Code Quality,biased review,High,perceptual confusion,Medium,,,biased review,Coding,,,,,
59,https://cwe.mitre.org/data/definitions/59,Improper Link Resolution Before File Access,Rylan,"The product attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link or shortcut that resolves to an unintended resource.","A developer who implemented software that access files may not have considered cases where certain provided links or shortcuts can access other resources in the system during the review stage.

During the documentation stage, failing to clarify clearly how user input needs to be verified when accepting filenames can lead to a vulnerability.",,"read files, read directories, bypass protection mechanism, execute unauthorized code",,Input Validation and Representation,biased review,High,security culture,Medium,,,biased review,Review,,,,,
732,https://cwe.mitre.org/data/definitions/732,Incorrect Permission Assignment for Critical Resource,Rylan,The product specifies permissions for a security-critical resource in a way that allows that resource to be read or modified by unintended actors.,"During the documentation stage, failing to clearly state the appropriate permissions for critical resources, such as user data, may lead to a vulnerability.

While reviewing their code, a developer may fail to realize that certain permissions given to a resource could be abused by an attacker",,"read application data, read files, gain privileges, modify application data","file handling, input validation, symlink",Encapsulation,security culture,Medium,biased review,Low,,,lack of knowledge,Review,,,,,
129,https://cwe.mitre.org/data/definitions/129,Improper Validation of Array Index,Rylan,"The product uses untrusted input when calculating or using an array index, but the product does not validate or incorrectly validates the index to ensure the index references a valid position within the array.","A developer reviewing software that writes or access an array using a value gained from user input may fail to consider cases where the user inputs an index outside of the array, potentially leading to a vulnerability.
If a developer is tasked with implementing a method that accesses an array as well as verifying the index provided by a user is valid, the programmer may focus more on the array method, as it is required for functionality of the program, omitting the task of verifying the input
",,"system crash, system restart","authorize actors, encapsulation, automated static analysis",Input Validation and Representation,biased review,High,unknown,Unknown,,,biased review,Coding,,,,,
694,https://cwe.mitre.org/data/definitions/694,Use of resources with Duplicate Identifier,Rylan,"The product uses multiple resources that can have the same identifier, in a context in which unique identifiers are required.","If no standard convention is established on a large software project, developer may coincidently name certain resources within the software identical names, potentially leading to vulnerabilities.",,"bypass protection mechanism, quality degradation",input validation,Code Quality,miscommunication,High,,,,,,Coding,,,,,
1127,https://cwe.mitre.org/data/definitions/1127,Compilation with Insufficient Warnings or Errors,Rylan,"The code is compiled without sufficient warnings enabled, which may prevent the detection of subtle bugs or quality issues.","Software developers not fully utilizing the compilers provided by not enabling warning flags may lead to vulnerabilities in the code.
Developers utilizing new compilers or technologies may not be aware of certain warnings that must be enable to correctly review code.
",,reduce maintainability,"neutralization, resource management errors, unique identifiers",,misused tools,High,lack of knowledge,Medium,,,misused tools,Review,,,,,
1102,https://cwe.mitre.org/data/definitions/1102,Reliance on Machine-Dependent Data Representation,Rylan,"The code uses a data representation that relies on low-level data representation or constructs that may vary across different processors, physical machines, OSes, or other physical components.","Developers may be unaware that certain aspects of their system are system dependent, which may lead to vulnerabilities across different platforms utilizing the software.",,reduce maintainability,"improper adherence to coding standards, bad coding practices",Code Quality,lack of knowledge,Medium,,,,,lack of knowledge,Design,,,,,
267,https://cwe.mitre.org/data/definitions/267,Privilege Defined with Unsafe Actions,Rylan,"A particular privilege, role, capability, or right can be used to perform unsafe actions that were not intended, even when it is assigned to the correct entity.","During the documentation stage, failing to clearly define the privileges of all roles in a system can lead to certain roles having inappropriate and unsafe capabilities.",,gain privileges,"bad coding practices, undefined behavior, encapsulation",,security culture,Medium,,,,,,Design,,,,,
369,https://cwe.mitre.org/data/definitions/369,The product divides a value by zero,Rylan,The product divides a value by zero.,"A developer lacking knowledge in mathematics, or a programs character set may divide a variable by zero, not realizing it could lead to an exception.",,"system crash, system restart","unauthorized actors, privilege management, automated static analysis, fuzz testing",,lack of knowledge,Medium,,,,,rule deficiencies,Coding,,,,,
697,https://cwe.mitre.org/data/definitions/697,Incorrect Comparison,Rylan,"The product compares two entities in a security-relevant context, but the comparison is incorrect, which may lead to resultant weaknesses.","If a developer is tasked with creating a protection mechanism that relies on  a set of inputs, as well as verifying the received inputs, the mechanism may appear to be more noteworthy, potentially omitting the input validation, leading to a potential vulnerability.",,,,Code Quality,unknown,Low,,,,,unknown,Coding,,,,,
795,https://cwe.mitre.org/data/definitions/795,Only Filtering Special Element at a Specified Location,Rylan,"The product receives data from an upstream component, but only accounts for special elements at a specified location, thereby missing remaining special elements that may exist before sending it to a downstream component.","A developer reviewing a product that filters out special elements may mistakenly conclude that a special element will only appear at a certain point in the input, and believe all cases have been accounted for, leading to a potential vulnerability.",,unexpected state,,Input Validation and Representation,lack of knowledge,Medium,,,,,biased review,Review,,,,,
201,https://cwe.mitre.org/data/definitions/201,Insertion of Sensitive Information Into Sent Data,Rylan,"The code transmits data to another actor, but a portion of the data includes sensitive information that should not be accessible to that actor.","During documentation, failing to ensure least privilege principles among modules and messages may result in developers disclosing this information the wrong actor.
A module may require an API call such as ""HTTP post"" to ensure sensitive information is not accessible by users, however a developer may use another similar method such as ""HTTP get"" which has worked successfully in the past for similar requirements and is similar to post, potentially leading to leaked data to unintended actors",,"read files, read memory, read application data",input validation unexpected date,Encapsulation,security culture,Medium,strong now wrong,Medium,,,strong now wrong,Design,,,,,
350,https://cwe.mitre.org/data/definitions/350,Reliance on Reverse DNS Resolution for a Security-Critical Action,Rylan,"The product performs reverse DNS resolution on an IP address to obtain the hostname and make a security decision, but it does not properly ensure that the IP address is truly associated with the hostname.","A developer reviewing a feature that uses reverse DNS resolution to obtain a hostname may fail to consider a case in which an attacker poisons the DNS cache, leading to a potential attack.",,"gain privileges, bypass protection mechanism","separation of privileges, sensitive data",API Abuse,biased review,High,,,,,,Review,,,,,
693,https://cwe.mitre.org/data/definitions/693,Protection Mechanism Failure,Rylan,The product does not use or incorrectly uses a protection mechanism that provides sufficient defense against directed attacks against the product.,"Developers may not be aware or consider use of a provided security tool, potentially leading to a vulnerability that could’ve been easily mitigated.
Developers may use a security tool such as encryption to a believed expected standard, however, it may not meet modern day security requirements, such as level of encryption.",,,identity verification,Security Features,misused tools,High,unknown,Unknown,,,unknown,Coding,,,,,
352,https://cwe.mitre.org/data/definitions/352,Cross-Site Request Forgery,Rylan,"The web application does not, or can not, sufficiently verify whether a well-formed, valid, consistent request was intentionally provided by the user who submitted the request.","A lack a security requirements relating to request verification will likely lead to a vulnerability. 
 
Developers may review a program receiving requests and overlook the condition to verify the request, potentially leading to a vulnerability.",,"gain privileges, bypass security mechanism, system crash, system restart",,Input Validation and Representation,security culture,High,biased review,Low,,,biased review,Review,,,,,
434,https://cwe.mitre.org/data/definitions/434,Unrestricted Upload of File with Dangerous Type,Rylan,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.,"A lack a security requirements relating to file verification will likely lead to a vulnerability. 
Developers may review a program receiving file uploads and overlook the condition to verify the file type, potentially leading to a vulnerability.",,"execute unauthorized code, execute unauthorized commands","libraries, frameworks, cross-site scripting, input validation",Input Validation and Representation,security culture,High,biased review,High,,,biased review,Design,,,,,
862,https://cwe.mitre.org/data/definitions/862,Missing Authorization,Rylan,The product does not perform an authorization check when an actor attempts to access a resource or perform an action.,"A lack a security requirements relating to actor authorization will likely lead to a vulnerability. 
Developers may review a program allowing users to access resources and overlook the condition to verify the authority of the user, potentially leading to a vulnerability.",,"gain privileges, bypass protection mechanism, system crash, system restart, read application data","input validation, environment hardening, authorize actors",Security Features,security culture,Medium,unknown,Unknown,,,biased review,Coding,,,,,
502,https://cwe.mitre.org/data/definitions/502,Deserialization of Untrusted Data,Rylan,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.,"A lack a security requirements relating to verifying deserialized data will likely lead to a vulnerability. 
Developers may review a program allowing sources to submit serialized data to the software and overlook the condition to verify the resulting deserialized data, potentially leading to a vulnerability.",,"modify application data, unexpected state, resource consumption","libraries, frameworks, access control",,security culture,Medium,biased review,High,,,biased review,Review,,,,,
78,https://cwe.mitre.org/data/definitions/78,OS Command Injection,Rylan,"The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component.","A lack a security requirements relating to neutralizing escape characters will likely lead to a vulnerability. 
Developers may review a program constructing OS commands using user input and overlook the condition to neutralize escape characters potentially leading to a vulnerability.
",,"execute unauthorized code, system crash, system restart, read files, modify files, read application data","firewall, cryptography, input validation, error handling",Input Validation and Representation,security culture,Medium,biased review,High,,,biased review,Coding,,,,,
524,https://cwe.mitre.org/data/definitions/524,Use of Cache Containing Sensitive Information,Theo,"The code uses a cache that contains sensitive information, but the cache can be read by an actor outside of the intended control sphere.","Websites often use caches to temporarily store information provided by the user. If this information is not securely stored, vulnerabilities in the web browser could allow attackers to access this sensitive information.",,read application data,"libraries, frameworks, input validation, environment hardening, neutralization",Encapsulation,lack of knowledge,High,,,,,biased review,Design,,,,,
250,https://cwe.mitre.org/data/definitions/250,Execution with Unnecessary Privileges,Theo,"The program performs an operation at a privilege level that is higher than the minimum level required, which creates new weaknesses or amplifies the consequences of other weaknesses.","One common example of unnecessary privilege escalation is on Linux platforms, i.e. running as root.

It's also common for unnecessary privileges to be requested from an API, for example requesting mutable access to an object versus a read-only getter function.",,"gain privileges, execute unauthorized code, read application data, system crash, system restart","error handling, cache encryption",Security Features,biased review,High,,,,,,Coding,,,,,
617,https://cwe.mitre.org/data/definitions/617,Reachable Assertion,Theo,"The program contains an assert() or similar statement that can be triggered by an attacker, which leads to an application exit or other behavioe that is more severe than necessary.","Assertions are typically used during development of a program, but can cause unintended behavior if triggered in a production environment. Developers must make sure to exhaustively remove all leftover assertion functions.",,"system crash, system restart, off by one error","environment hardening, attack surface reduction, input validation, separation of privileges",Encapsulation,lack of review,High,,,,,post completion,Review,,,,,
1074,https://cwe.mitre.org/data/definitions/1074,Class with Excessively Deep Inheritance,Theo,"A class has an inheritance level that is too high, i.e., it has a large number of parent classes.","Excessive inheritance is a poor coding practice and serves as a distraction for developers, increasing the odds that vulnerabilities are introduced.",,,"input validation, control flow management,",Code Quality,complexity,High,,,,,,Design,,,,,
1080,https://cwe.mitre.org/data/definitions/1080,Source Code File with Excessive Number of Lines of Code,Theo,A source code file has too many lines of code.,Excessively large source code files can be difficult to maintain. This unnecessary complexity makes it more difficult for developers to maintain the code and increases the odds of vulnerabilities being introduced and missed.,,,,Code Quality,complexity,High,,,,,,Coding,,,,,
252,https://cwe.mitre.org/data/definitions/252,Unchecked Return Value,Theo,"The program does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions.","A developer may choose not to read the return value of a function, potentially missing the report of an error. The developer may believe that the error does not affect the operation of the program or that the odds of the error are negligble, but this is not a safe practice.",,"unexpected state, system crash, system restart",,API Abuse,overconfidence,High,,,,,overconfidence,Coding,,,,,
480,https://cwe.mitre.org/data/definitions/480,Use of Incorrect Operator,Theo,"The program accidentally uses the wrong operator, which changes the logic in security-relevant ways.","This defect may arise due to a typo. For example, = (single equals) and == (double equals) have different behaviors but a slip by the developer may result in the wrong one being typed.",,alter execution logic,"return values, null pointer dereference, error handling",Code Quality,perceptual confusion,High,,,,,perceptual confusion,Coding,,,,,
833,https://cwe.mitre.org/data/definitions/833,Deadlock,Theo,"The program contains multiple threads or executable segments that are waiting for each other to release a necessary lock, resulting in deadlock.",Developers should prepare for deadlock when designing multithreaded programs. Deadlock may occur when assumptions are made about the status of a resource.,,"resource consumption, system crash, system restart","control flow management, string errors",Time and State,biased review,High,,,,,lack of knowledge - sequencing issues,Design,,,,,
695,https://cwe.mitre.org/data/definitions/695,Use of Low-Level Functionality,Theo,The program uses low-level functionality that is explicitly prohibited by the framework or specification under which the product is supposed to operate.,"The developer may not be aware of certain features offered by the framework, and attempts to implement the functionality themselves. Additionally, they may feel confident in their ability to circumvent warnings provided by the framework about unsafe features.",,,"resource locking, resource management",Code Quality,lack of knowledge,Medium,overconfidence,Low,,,,Coding,,,,,
1041,https://cwe.mitre.org/data/definitions/1041,Use of Redundant Code,Theo,"The program has multiple functions, methods, procedures, macros, etc. that contain the same code.",Redundant code can clutter the development repository and lead to complexity errors. Code redundancy emerges from the development phase and can be resolved during review passes. It is important for developers to establish a routine phase of code refactoring.,,,"api errors, function errors",Code Quality,selectivity,Medium,lack of review,Low,,,selectivity,Review,,,,,
1079,https://cwe.mitre.org/data/definitions/1079,Parent Class without Virtual Destructor Method,Theo,"A parent class contains one or more child classes, but the parent class does not have a virtual destructor method.","In C++, it is undefined behavior to derive from a class that does not have a virtual destructor. Classes with no children do not have this requirement. The developer may not be aware of this feature of the programming language.",,reduce reliability,,Code Quality,strong now wrong,Medium,lack of knowledge,Low,,,lack of knowledge,Coding,,,,,
1063,https://cwe.mitre.org/data/definitions/1063,Creation of Class Instance within a Static Code Block,Theo,A static code block creates an instance of a class.,"This issue can make the product perform more slowly by performing initialization before it is needed. If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",,,automated static analysis,Time and State,biased review,High,,,,,,Design,,,,,
609,https://cwe.mitre.org/data/definitions/609,Double-Checked Locking,Theo,The program uses double-checked locking to access a resource in place of synchronization mechanisms and the locking is insufficient.,"In some languages, atomic synchronization can be substituted for ""double-checked locking"". However, this functionality is not supported in all languages and could result in a race condition.",,modify application data,,Time and State,strong now wrong,High,,,,,strong now wrong,Coding,,,,,
1124,https://cwe.mitre.org/data/definitions/1124,Excessively Deep Nesting,Theo,The code contains a callable or other code grouping in which the nesting / branching is too deep.,Excessive nesting is often a symptom of a lack of code refactoring. Developers should move deeply nested code into a new function to reduce code complexity.,,,"resource locking, resource management, automated static analysis",Code Quality,selectivity,Medium,lack of review,Low,,,,Review,,,,,
134,https://cwe.mitre.org/data/definitions/134,Use of Externally-Controlled Format String,Rylan,"During execution of non-reentrant code, the product performs a call that unintentionally produces a nested invocation of the non-reentrant code.
","A developer may be required to review a heavily nested function, and fail to consider global dependencies hidden beneath a high number of layers.",,"read memory, modify memory, execute unauthorized code","file handling, attack surface reduction",Input Validation and Representation,unknown,High,,,,,unknown,Review,,,,,
268,https://cwe.mitre.org/data/definitions/268,Privilege Chaining,Rylan,"Two distinct privileges, roles, capabilities, or rights can be combined in a way that allows an entity to perform unsafe actions that would not be allowed without that combination.
","A developer may be required to review distinct roles/groups for security, but fail to consider the interactions they have with eachother.",,gain privileges,"string errors, input validation",Encapsulation,biased review,High,,,,,biased review,Review,,,,,
468,https://cwe.mitre.org/data/definitions/468,Incorrect Pointer Scaling,Rylan,"In C and C++, one may often accidentally refer to the wrong memory due to the semantics of when math operations are implicitly scaled.
","A developer may be required to increment a pointer value by one byte, and assume it should increment by one. In many cases, this will increment by the size of one data type, as opposed to one byte.",,"read memory, modify memory","separation of privileges, environment hardening, authorize actors",Code Quality,rule deficiencies,High,,,,,rule deficiencies,Coding,,,,,
1082,https://cwe.mitre.org/data/definitions/1082,Class Instance Self Destruction Control Element,Rylan,"The code contains a class instance that calls the method or function to delete or destroy itself.
","It is bad practice for a class to delete itself, however a developer may be unaware of this rule and implement it in their code.",,,"memory buffer errors, pointer issues",Code Quality,lack of knowledge,High,,,,,rule deficiencies,Design,,,,,
301,https://cwe.mitre.org/data/definitions/301,Reflection Attack in an Authentication Protocol,Rylan,"Simple authentication protocols are subject to reflection attacks if a malicious user can use the target machine to impersonate a trusted user.
","A developer reviewing a secure authentication scheme may verify its integrity, but fail to consider a case where a malicuous user reflects previously requested hashes to gain authentication.",,gain privileges,"authorize actors, cryptography",API Abuse,biased review,High,,,,,biased review,Review,,,,,
308,https://cwe.mitre.org/data/definitions/308,Use of Single-factor Authentication,Rylan,"The use of single-factor authentication can lead to unnecessary risk of compromise when compared with the benefits of a dual-factor authentication scheme.
","Developers may have designed software in the past utilizing single factor authentication, failing to realize the robust and numerous attacks it is susceptible to in modern times.",,bypass protection mechanism,authorize actors,Security Features,lack of knowledge,High,,,,,strong now wrong,Design,,,,,
257,https://cwe.mitre.org/data/definitions/257,Storing Passwords in a Recoverable Format,Rylan,The storage of passwords in a recoverable format makes them subject to password reuse attacks by malicious users.,"Developers may believe two-way formats such as compression are sufficient in encrypting a password, which is not the case.",,"gain privileges, access control",encryption,Security Features,lack of knowledge,High,,,,,,Coding,,,,,
824,https://cwe.mitre.org/data/definitions/824,Access of Uninitialized Pointer,Rylan,"The product accesses or uses a pointer that has not been initialized.
","A developer may be tasked with the creation and utilization of a pointer. However, utilization of the pointer may be more important, and ensuring it has been properly initialized may be omitted as a result.",,"read memory, system crash, system restart, execute unauthorized code","pointer issues, memory buffer errors",Code Quality,post completion,Medium,,,,,,Coding,,,,,
477,https://cwe.mitre.org/data/definitions/477,Use of Obsolete Function,Rylan,"The code uses deprecated or obsolete functions, which suggests that the code has not been actively reviewed or maintained.
","When reviewing code, developers may encounter outdated methods that worked in the past, but now pose security risks. They may fail to consider cases such as this.",,quality degradation,"api errors, function errors",API Abuse,biased review,High,,,,,biased review,Review,,,,,
1113,https://cwe.mitre.org/data/definitions/1113,Inappropriate Comment Style,Rylan,"The source code uses comment styles or formats that are inconsistent or do not follow expected standards for the product.
","Developers may utilize comment conventions that have been succesful in the past, but do not meet the requirements of the current project.",,"modify application data, gain privileges","input validation, output encoding, neutralization",Code Quality,strong now wrong,High,,,,,strong now wrong,Coding,,,,,
605,https://cwe.mitre.org/data/definitions/605,Multiple Binds to the Same Port,Rylan,"When multiple sockets are allowed to bind to the same port, other services on that port may be stolen or spoofed.
","When reviewing software uitilizing sockets, developers may confirm functionality, but fail to consider shared sockets across program, potentially leading to a security vulnerability.",,read application data,policy,Encapsulation,biased review,High,,,,,biased review,Review,,,,,
444,https://cwe.mitre.org/data/definitions/444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),Rylan,"The product acts as an intermediary HTTP agent (such as a proxy or firewall) in the data flow between two entities such as a client and server, but it does not interpret malformed HTTP requests or responses in ways that are consistent with how the messages will be processed by those entities that are at the ultimate destination.
","While designing and intermediary HTTP agent, a developer may design in it a non-functional way for the host failing to realize the specific requirements laid by the host.",,"unexpected state, bypass protection mechanism",automated static analysis,API Abuse,rule deficiencies,Medium,,,,,,Design,,,,,
179,https://cwe.mitre.org/data/definitions/179,Incorrect Behavior Order: Early Validation,Rylan,"The product validates input before applying protection mechanisms that modify the input, which could allow an attacker to bypass the validation via dangerous inputs that only arise after the modification.
","The design of an application may be broken into multiple steps, including validating input and applying protection mechanisms. After implementing, the developer may fail to sequence these components correctly as specified by the main goal.",,"bypass protection mechanism, execute unauthorized code",input validation,Time and State,sequencing issues,High,,,,,lack of knowledge - sequencing issues,Coding,,,,,
603,https://cwe.mitre.org/data/definitions/603,Use of Client-Side Authentication,Rylan,"A client/server product performs authentication within client code but not in server code, allowing server-side authentication to be bypassed via a modified client that omits the authentication check.
",Developers may be unaware of the ease client-side authentication provides for malicuous users to spoof authentication.,,"bypass protection mechanism, gain privileges",authorize actors,Encapsulation,lack of knowledge,High,,,,,lack of knowledge,Design,,,,,
